Topic,Description,Register Adress,Unit& Resolution,type,AXSOL Name,AXSOL Unit & Resolution
Pack64 positive pole temperature,"According to the actual situation of the project, it supports a maximum of 64 Packs.",0x225F,0.1℃,int16,,
Pack1 negative pole temperature,,0x2260,0.1℃,int16,,
Pack64 negative pole temperature,"According to the actual situation of the project, it supports a maximum of 64 Packs.",0x229F,0.1℃,int16,,
Rack cell voltage[1],,0x2400,mV,u16,,V
Rack cell voltage[512],"According to the actual situation of the project, it supports a maximum of 512 individual voltages.",0x25FF,mV,u16,,
Rack cell temperature[1],,0x2600,0.1℃,int16,,0.1℃
Rack cell temperature[512],"According to the actual situation of the project, it can support a maximum of 512 monomer temperatures.",0x27FF,0.1℃,int16,,
TMS operating state ,"0, OFF mode
1, Cooling mode
2, Heating mode
3, Auto cycle mode",0x3077,,u16,,
K1 relay state,"0: Opend, 1: Closed",0x3078,,u16,AX_Rack error,
K2 relay state,"0: Opend, 1: Closed",0x3079,,u16,AX_Rack error,
Pre-heating mode feedback,"0: Exit preheating mode
1: Enter preheating mode",0x307A,,u16,,
Outlet temperature,Offset: -40℃,0x307B,-40℃,int16,AX_Rack Outlet temperature,°C
Inlet temperature,Offset: -40℃,0x307C,-40℃,int16,AX_Rack Inlet temperature,°C
Ambient temperature,Offset: -40℃,0x307D,-40℃,int16,AX_Rack Ambient temperature,°C
Outlet pressure,Resolutions: 0.1bar,0x307E,0.1bar,u16,,
Inlet pressure,Resolutions: 0.1bar,0x307F,0.1bar,u16,,
TMS fault code,0: No fault,0x3080,,u16,AX_Rack error,
TMS fault level,"1: No fault
1: Alarm I
2: Alarm II",0x3081,,u16,AX_Rack error,
ACDC_ A voltage,Resolutions: 1V/bit,0x3082,V,u16,AX_Rack error,V
High pressure value,Resolutions: 1KPa/bit,0x3083,Kpa,u16,,
Low pressure value,Resolutions: 1KPa/bit,0x3084,Kpa,u16,,
Fan PWM,Resolutions: 1%/bit,0x3085,%,u16,,
Compressor voltage,Resolutions: 1V/bit,0x3086,V,u16,,V
Compressor current,Resolutions: 0.1A/bit,0x3087,0.1A,u16,,0.1A
Compressor revolution speed,Resolutions: 100rpm/bit,0x3088,100rpm,u16,,
PTC temperature switch state,"0: Opend, 1: Closed",0x3089,,u16,,
Water pump switch,"0: Opend, 1: Closed",0x308A,,u16,,
AC fault-1,00: No fault,0x308B,,u16,AX_Rack error,
AC fault-2,00: No fault,0x308C,,u16,AX_Rack error,
