description;plcVariableName;mbUsed;multiplier;addressOffset;mbRegister;mbFunctionCode;mbUnit;mqttLowerLimit;mqttUpperLimit;mbScaling;mbOffset;mbType;mqttScaling;mqttName;mqttOffset;mqttUnit;mqttDecimals;mbHandler;mbHandlerOffset;mbIdx;mbTypeSize
Current 5;MCU_Current_5;True;4;100;10024;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;15;16
Positive Ah Counter 6;MCU_Positiv_Ah_Counter_6;True;4;100;10025;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;16;32
Negative Ah Counter 6;MCU_Negativ_Ah_Counter_6;True;4;100;10027;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;17;32
Current 6;MCU_Current_6;True;4;100;10029;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;18;16
Positive Ah Counter 7;MCU_Positiv_Ah_Counter_7;True;4;100;10030;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;19;32
Negative Ah Counter 7;MCU_Negativ_Ah_Counter_7;True;4;100;10032;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;20;32
Current 7;MCU_Current_7;True;4;100;10034;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;21;16
Positive Ah Counter 8;MCU_Positiv_Ah_Counter_8;True;4;100;10035;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;22;32
Negative Ah Counter 8;MCU_Negativ_Ah_Counter_8;True;4;100;10037;4;Ah;-999999990;999999990;0.01;0;UINT32;0.01;;0;Ah;3;5;1;23;32
Current 8;MCU_Current_8;True;4;100;10039;4;A;-999999990;999999990;0.01;0;UINT16;0.01;;0;A;3;5;1;24;16
DC Input Voltage;MCU_DC_Input_Voltage;True;4;100;10040;4;V;-999999990;999999990;0.1;0;UINT16;0.1;;0;V;3;5;1;25;16
Active Power Set Point;MCU_Active_Power_Set_Point;True;4;100;24100;16;kW;-999999990;999999990;1.0;0;INT16;1.0;SP_P;0;kW;3;9;1;1;16
Active Power Set Point Decimal;MCU_Active_Power_Set_Point_decimal_place;True;4;100;24101;16;kW;-999999990;999999990;0.1;0;UINT16;0.1;SP_P;0;kW;3;9;1;2;16
Reactive Power Set Point;MCU_Reactive_Power_Set_Point;True;4;100;24102;16;kvar;-999999990;999999990;1.0;0;INT16;1.0;SP_Q;0;kvar;3;9;1;3;16
Reactive Power Set Point Decimal;MCU_Reactive_Power_Set_Point_decimal_place;True;4;100;24103;16;kvar;-999999990;999999990;0.1;0;UINT16;0.1;SP_Q;0;kvar;3;9;1;4;16
DC Voltage Maximum;MCU_DC_Voltage_Maximum;True;4;100;24104;16;V;-999999990;999999990;0.1;0;UINT16;0.1;;0;V;3;9;1;5;16
DC Voltage Minimum;MCU_DC_Voltage_Minimum;True;4;100;24105;16;V;-999999990;999999990;0.1;0;INT16;0.1;;0;V;3;9;1;6;16
Positive DC Current Limit;MCU_Positive_DC_Current_Limit;True;4;100;24106;16;A;-999999990;999999990;1.0;0;INT16;1.0;;0;A;3;9;1;7;16
Positive DC Current Limit Decimal;MCU_Positive_DC_Current_Limit_decimal_place;True;4;100;24107;16;A;-999999990;999999990;0.1;0;UINT16;0.1;;0;A;3;9;1;8;16
Negative DC Current Limit;MCU_Negative_DC_Current_Limit;True;4;100;24108;16;A;-999999990;999999990;1.0;0;INT16;1.0;;0;A;3;9;1;9;16
Negative DC Current Limit Decimal;MCU_Negative_DC_Current_Limit_decimal_place;True;4;100;24109;16;A;-999999990;999999990;0.1;0;UINT16;0.1;;0;A;3;9;1;10;16
Island Voltage Set Point;MCU_Island_Voltage_Set_Point;True;4;100;24110;16;V;-999999990;999999990;0.1;0;UINT16;0.1;SP_V_Islland;0;V;3;9;1;11;16
Island Frequency Set Point;MCU_Island_Frequency_Set_Point;True;4;100;24111;16;Hz;-999999990;999999990;0.001;0;UINT16;0.001;SP_F_Island;0;Hz;3;9;1;12;16
Operating Mode;MCU_Operating_Mode;True;4;100;24112;16;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;9;1;13;16
MCU Error Reset;MCU_Error_Reset;True;4;100;24113;16;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;Error_Ack;0;NoUnit;3;9;1;14;16
Heartbeat;MCU_Heartbeat;True;4;100;24114;16;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;9;1;15;16
CosPhi Set;MCU_CosPhi_Set;True;4;100;24115;16;NoUnit;-999999990;999999990;1.0;0;UINT16;1.0;;0;NoUnit;3;9;1;16;16
